49,30,a
44,0,a
28,3,a
9,6,a
29,23,a
35,4,a
7,45,a
38,4,a
46,2,a
18,25,a
13,4,a
35,49,a
34,37,a
23,36,a
29,49,a
11,12,a
46,36,a
25,38,a
1,6,a
34,45,a
38,31,a
8,35,a
37,25,a
44,34,a
5,42,a
17,30,a
31,14,a
49,49,a
34,9,a
11,30,a
6,11,a
16,32,a
33,35,a
4,25,a
2,44,a
24,12,a
23,1,a
22,7,a
9,25,a
37,44,a
33,29,a
48,1,a
15,22,a
9,7,a
36,10,a
35,22,a
9,11,a
31,9,a
6,18,a
35,30,a
68,92,b
95,83,b
81,63,b
91,55,b
62,57,b
52,79,b
80,72,b
73,99,b
91,56,b
92,83,b
93,87,b
93,64,b
73,78,b
74,91,b
67,52,b
69,89,b
80,91,b
64,59,b
84,75,b
76,70,b
84,91,b
80,77,b
58,91,b
54,76,b
78,89,b
86,57,b
51,60,b
76,81,b
99,91,b
63,72,b
99,50,b
99,74,b
93,73,b
87,68,b
72,85,b
96,54,b
58,60,b
75,55,b
86,88,b
93,77,b
50,57,b
99,77,b
60,92,b
99,94,b
91,62,b
99,79,b
56,51,b
86,96,b
60,91,b
58,74,b
138,112,c
127,146,c
118,140,c
109,149,c
149,122,c
132,113,c
126,104,c
108,131,c
127,144,c
105,138,c
127,142,c
133,114,c
139,139,c
136,118,c
136,131,c
113,108,c
148,138,c
124,117,c
133,113,c
110,111,c
103,102,c
104,110,c
147,112,c
113,108,c
128,146,c
124,137,c
140,129,c
129,111,c
104,141,c
131,115,c
137,134,c
125,124,c
111,106,c
117,110,c
120,149,c
109,141,c
135,108,c
100,119,c
128,121,c
102,132,c
130,141,c
112,116,c
138,135,c
111,117,c
105,136,c
100,112,c
130,100,c
107,130,c
107,131,c
148,102,c
174,172,d
151,155,d
168,159,d
195,191,d
192,172,d
164,157,d
181,157,d
186,184,d
167,192,d
176,168,d
150,177,d
191,157,d
185,184,d
157,173,d
191,158,d
170,181,d
182,184,d
156,166,d
196,164,d
175,185,d
176,181,d
155,162,d
188,190,d
199,191,d
167,190,d
186,164,d
164,157,d
185,153,d
187,150,d
162,169,d
151,165,d
190,175,d
187,189,d
190,193,d
160,186,d
194,175,d
191,159,d
178,153,d
171,177,d
155,150,d
183,150,d
198,165,d
165,178,d
155,155,d
178,165,d
198,184,d
169,183,d
183,153,d
158,174,d
186,170,d
